name,stratum,bioactivity_vocab,food_source,bioavailability,canonical_smiles,formula,mw,logp,hbd,hba,tpsa,rings,murcko_scaffold
epigallocatechin,African,antioxidant,kola nut,low,Oc1cc(O)c2c(c1)O[C@H](c1cc(O)c(O)c(O)c1)[C@H](O)C2,C15H14O7,306.3,1.25,6,7,130.6,3,c1ccc(C2CCc3ccccc3O2)cc1
garcinol,African,anticancer,bitter kola,low,C=C(C)[C@@H](CC=C(C)C)C[C@@]12C[C@@H](CC=C(C)C)C(C)(C)[C@@](CC=C(C)C)(C(=O)/C(=C(\O)c3ccc(O)c(O)c3)C1=O)C2=O,C38H50O6,602.8,8.76,3,6,111.9,3,O=C1C(=Cc2ccccc2)C(=O)C2CCCC1C2=O
5-hydroxytryptophan,African,neuroprotective,Griffonia simplicifolia,high,NC(Cc1c[nH]c2ccc(O)cc12)C(=O)O,C11H12N2O3,220.2,0.83,4,3,99.3,2,c1ccc2[nH]ccc2c1
ibogaine,African,neuroprotective,iboga,moderate,CC[C@H]1C[C@@H]2C[C@H]3c4[nH]c5ccc(OC)cc5c4CCN(C2)[C@@H]13,C20H26N2O,310.4,3.94,1,2,28.3,6,c1ccc2c3c([nH]c2c1)C1CC2CCC1N(CC3)C2
yohimbine,African,stimulant,yohimbe bark,moderate,COC(=O)[C@@H]1[C@H]2C[C@H]3c4[nH]c5ccccc5c4CCN3C[C@@H]2CC[C@@H]1O,C21H26N2O3,354.4,2.65,2,4,65.6,5,c1ccc2c3c([nH]c2c1)C1CC2CCCCC2CN1CC3
harpagide,African,anti-inflammatory,devil's claw,moderate,C[C@]1(O)C[C@@H](O)[C@]2(O)C=CO[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H]21,C15H24O10,364.3,-3.46,7,10,169.3,3,C1=CC2CCCC2C(OC2CCCCO2)O1
marrubiin,African,anti-inflammatory,Marrubium,low,C[C@@H]1C[C@H]2OC(=O)[C@@]3(C)CCC[C@@](C)([C@@H]23)[C@@]1(O)CCc1ccoc1,C20H28O4,332.4,3.72,1,4,59.7,4,O=C1OC2CCC(CCc3ccoc3)C3CCCC1C23
theophylline,African,stimulant,"cocoa, kola nut",high,Cn1c(=O)c2[nH]cnc2n(C)c1=O,C7H8N4O2,180.2,-1.04,1,3,72.7,2,O=c1[nH]c(=O)c2[nH]cnc2[nH]1
cyanidin 3-glucoside,African,antioxidant,"roselle, hibiscus",low,OC[C@H]1O[C@@H](Oc2cc3c(O)cc(O)cc3[o+]c2-c2ccc(O)c(O)c2)[C@H](O)[C@@H](O)[C@@H]1O,C21H21O11+,449.4,0.38,8,10,191.6,4,c1ccc(-c2[o+]c3ccccc3cc2OC2CCCCO2)cc1
gossypol,African,other,cottonseed,low,Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O,C30H30O8,518.6,6.38,6,8,155.5,4,c1ccc2cc(-c3ccc4ccccc4c3)ccc2c1
piceatannol,African,antioxidant,"rooibos, passion fruit",low,Oc1cc(O)cc(/C=C/c2ccc(O)c(O)c2)c1,C14H12O4,244.2,2.68,4,4,80.9,2,C(=Cc1ccccc1)c1ccccc1
cathinone,African,stimulant,khat,high,C[C@H](N)C(=O)c1ccccc1,C9H11NO,149.2,1.22,1,2,43.1,1,c1ccccc1
voacangine,African,other,Voacanga africana,low,CC[C@H]1C[C@@H]2CN3CCc4c([nH]c5ccc(OC)cc45)[C@](C(=O)OC)(C2)[C@H]13,C22H28N2O3,368.5,3.26,1,4,54.6,6,c1ccc2c3c([nH]c2c1)C1CC2CCC1N(CC3)C2
catechin-7-O-glucoside,African,antioxidant,sorghum,low,OC[C@H]1O[C@@H](Oc2cc(O)c3c(c2)O[C@H](c2ccc(O)c(O)c2)[C@@H](O)C3)[C@H](O)[C@@H](O)[C@@H]1O,C21H24O11,452.4,-0.98,8,11,189.5,4,c1ccc(C2CCc3ccc(OC4CCCCO4)cc3O2)cc1
taxifolin-7-glucoside,African,antioxidant,rooibos,low,O=C1c2c(O)cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc2O[C@H](c2ccc(O)c(O)c2)[C@H]1O,C21H22O12,466.4,-1.34,8,12,206.6,4,O=C1CC(c2ccccc2)Oc2cc(OC3CCCCO3)ccc21
luteolin-7-glucoside,African,anti-inflammatory,African herbs,low,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc(O)c12,C21H20O11,448.4,-0.24,7,11,190.3,4,O=c1cc(-c2ccccc2)oc2cc(OC3CCCCO3)ccc12
quercetin-3-glucoside,African,antioxidant,hibiscus,low,O=c1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,C21H20O12,464.4,-0.54,8,12,210.5,4,O=c1c(OC2CCCCO2)c(-c2ccccc2)oc2ccccc12
physcion,African,antimicrobial,African medicinal plants,low,COc1cc(O)c2c(c1)C(=O)c1cc(C)cc(O)c1C2=O,C16H12O5,284.3,2.19,2,5,83.8,3,O=C1c2ccccc2C(=O)c2ccccc21
crocin,African,antioxidant,saffron,low,CC(/C=C/C=C(\C)C(=O)O[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O)=C\C=C\C=C(C)\C=C\C=C(/C)C(=O)O[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O,C44H64O24,977.0,-5.23,14,24,391.2,4,O=C(C=CC=CC=CC=CC=CC=CC=CC(=O)OC1CCCC(COC2CCCCO2)O1)OC1CCCC(COC2CCCCO2)O1
safranal,African,neuroprotective,saffron,moderate,CC1=C(C=O)C(C)(C)CC=C1,C10H14O,150.2,2.49,0,1,17.1,1,C1=CCCC=C1
gymnemic acid II,South Asian,antidiabetic,Gymnema sylvestre,low,CC[C@H](C)C(=O)O[C@H]1[C@H](O)[C@]2(COC(C)=O)[C@@H](O)C[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]6O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]2CC1(C)C,C43H68O14,809.0,3.11,7,13,229.7,6,C1=C2C3CCCCC3CCC2C2CCC3CC(OC4CCCCO4)CCC3C2C1
